mode,HR-factor,Freq (cm-1)
1,0.001,8.31
2,0,8.98
3,0,15.34
4,0.006,19.23
5,0.003,25.2
6,0,40.88
7,0.025,55.64
8,0.017,60.46
9,0.041,68.05
10,0.026,70
11,0.005,79.24
12,0,87
13,0.006,97.8
14,0,105.88
15,0.019,150.94
16,0.009,164.31
17,0.001,165.65
18,0.007,180.15
19,0.066,197.63
20,0.007,204.67
21,0,228.87
22,0.109,252.14
23,0.081,254.98
24,0.002,257.81
25,0.082,289.19
26,0.009,298.44
27,0.233,308.3
28,0.034,316.95
29,0.034,327.81
30,0.682,330.94
31,0.074,343.29
32,0.108,351.48
33,0.01,368.57
34,0.014,380.28
35,0.09,399.59
36,0.022,420.09
37,0.033,439.72
38,0.015,455.72
39,0.036,463.85
40,0.004,477.16
41,0.006,493.97
42,0.782,511.51
43,0.318,517.52
44,0.151,532.35
45,0.038,542.01
46,0.113,545.22
47,0.011,560.32
48,0.04,598.63
49,0.008,610.91
50,0.241,630.15
51,0.004,634.99
52,0.091,667.25
53,0.076,684.52
54,0.107,703.94
55,0.325,713.05
56,0,745.09
57,0.247,759.97
58,0.033,780.93
59,0.05,782.61
60,0.058,787.31
61,0.113,797.71
62,0.58,804.1
63,0.779,812.81
64,0.003,816.92
65,0.067,817.56
66,0,855.53
67,0.013,865.84
68,0.021,878.73
69,0.037,894.4
70,0.042,902.27
71,0,916.96
72,0.017,924.35
73,0.009,952.4
74,0.003,956.82
75,0.058,970.24
76,0.386,972.64
77,0.088,977.37
78,0.388,1001.47
79,0.098,1004.76
80,0.007,1007.75
81,0,1029.16
82,0.001,1038.65
83,0.055,1050.34
84,0.022,1055.13
85,0.006,1067.7
86,0,1089.07
87,0,1097.76
88,0.118,1104.6
89,0.128,1106.62
90,0.328,1118.57
91,0.303,1120.3
92,0.078,1131.06
93,0.002,1148.45
94,0.028,1161.6
95,0.177,1170.84
96,0.141,1172.85
97,0.001,1190.41
98,0.013,1200.56
99,0,1213.51
100,0.011,1229.62
101,0.018,1232.99
102,0,1237.04
103,0.174,1260.74
104,0.167,1268.8
105,0.531,1273.65
106,0.015,1295.08
107,0.114,1306.76
108,0.185,1310.11
109,0.002,1310.83
110,0.033,1312.62
111,0.635,1335.43
112,0.004,1344.05
113,0.175,1348.45
114,0.013,1353.72
115,0,1357.33
116,0.002,1380.27
117,0.115,1385.89
118,0.077,1387.41
119,0.044,1392.22
120,0.012,1400.63
121,0.006,1400.66
122,0.059,1402.56
123,0.077,1417.17
124,0.24,1418.71
125,0.116,1440.89
126,0.011,1448.22
127,0.001,1458.37
128,0,1459.64
129,0.012,1470.3
130,0,1470.43
131,0.001,1472.73
132,0,1475.71
133,0.006,1482.27
134,0.05,1482.4
135,0,1485.28
136,0,1486.63
137,0,1490.73
138,0.039,1509.74
139,0,1510.25
140,0.067,1510.79
141,0.003,1531.19
142,0.007,1563.46
143,0.092,1590.44
144,0.024,1648.51
145,1.532,1665.46
146,0.034,1728.67
147,0,3014.48
148,0,3017.4
149,0,3026.98
150,0,3031.71
151,0.001,3040.52
152,0,3041.79
153,0,3053.32
154,0,3055.36
155,0.1,3057.44
156,0.067,3058.24
157,0,3094.85
158,0.27,3097.8
159,0.013,3098.14
160,0,3104.41
161,0,3106.95
162,0.004,3107.62
163,0,3108.26
164,0,3108.92
165,0,3117.05
166,0.24,3120.87
167,0.011,3121.2
168,0,3131.92
169,0,3195.2
170,0.001,3196.64
171,0,3203.51
172,0.006,3240.91
173,0.003,3249.7
174,0.001,3266.78
