mode,HR-factor,Freq (cm-1)
1,0.007,28.09
2,0.022,39.61
3,0.052,50.73
4,0.004,65.21
5,0.013,81.2
6,0.004,96.8
7,0.012,102.54
8,0.091,133.18
9,0.002,155.47
10,0.032,201.93
11,0.025,223.13
12,0.213,241.05
13,0.037,255.87
14,0.006,263.73
15,0.146,333.8
16,0.121,338.47
17,0,385.29
18,0.271,408.68
19,0.116,457.04
20,0.031,464.15
21,0.149,478.23
22,0.002,493.27
23,0.024,499.4
24,0.006,504.91
25,0.124,542.74
26,0.063,557.77
27,0.084,596.42
28,0.13,605.33
29,0.258,632.4
30,0.044,667.02
31,0.062,689.49
32,0.048,697.7
33,0.037,717.86
34,0.274,736.97
35,0.022,756.87
36,0,789.22
37,0.029,799.24
38,0.023,819.45
39,0.364,842.44
40,0.022,852.35
41,0.039,865.88
42,0.082,927.06
43,0.001,942.77
44,0.001,944.11
45,0.002,971.23
46,0,979.11
47,0.004,1009.62
48,0.001,1031.7
49,0.008,1071.07
50,0,1074.37
51,0.026,1094.85
52,0.066,1110.81
53,0,1124.25
54,0,1130.63
55,0.006,1157.43
56,0.001,1172.87
57,0.008,1190.87
58,0,1201.89
59,0.119,1217.72
60,0.026,1228.16
61,0.004,1252.55
62,0.08,1268.31
63,0.011,1282.92
64,0.007,1347.11
65,0.167,1358.05
66,0,1378.13
67,0.001,1391.1
68,0.003,1413.2
69,0.002,1441.72
70,0.001,1443.86
71,0.007,1457.08
72,0.01,1464.87
73,0.001,1476.28
74,0,1481.3
75,0,1485.74
76,0,1488.94
77,0.06,1508.04
78,0.115,1516.79
79,0.009,1523.6
80,0.122,1567.24
81,0.147,1574.49
82,0.086,1605.86
83,0.053,1622.68
84,0.384,1757.71
85,0,3042.95
86,0,3046.92
87,0,3098.17
88,0,3102
89,0.001,3176.12
90,0,3184.71
91,0,3194.98
92,0,3205.88
93,0,3209.35
94,0.001,3210.07
95,0,3220.36
96,0.001,3221.05
97,0,3233.09
98,0,3240.4
99,1.387,3632.71
