mode,HR-factor,Freq (cm-1)
1,0,23.07
2,0,46.43
3,0,61.58
4,0,69.83
5,0.008,76.45
6,0.042,91.87
7,0,123.72
8,0.001,139.42
9,0,167.39
10,0,193.53
11,0.013,215.23
12,0.045,248.85
13,0.001,269.53
14,0,305.01
15,0.03,318.75
16,0.019,337.48
17,0.029,353.35
18,0.003,378.37
19,0.002,381.44
20,0,402.35
21,0.001,415.57
22,0.006,439.93
23,0.007,454.47
24,0.028,473.67
25,0.09,516.85
26,0.002,527.22
27,0.129,529.23
28,0.005,550.52
29,0,590.03
30,0.002,609.15
31,0.006,624.77
32,0.027,635.89
33,0.01,660.15
34,0.01,691.81
35,0.011,702.09
36,0.015,708.76
37,0.043,721.36
38,0.089,738.89
39,0,754.3
40,0.033,780.44
41,0.169,815.35
42,0,852.9
43,0,859.57
44,0.006,869.76
45,0.001,883.12
46,0,889.65
47,0,896.66
48,0.001,904.13
49,0.013,913.81
50,0.019,938.6
51,0.021,942.5
52,0.009,979.52
53,0.006,995.85
54,0.017,1021.21
55,0,1023.8
56,0.012,1038.28
57,0.005,1050.4
58,0.006,1057.49
59,0,1085.28
60,0.001,1089.73
61,0.001,1093.53
62,0.013,1108.63
63,0.071,1130.29
64,0.009,1149.69
65,0.016,1171.96
66,0.012,1198.05
67,0.019,1202.34
68,0.001,1203.58
69,0,1217.25
70,0.003,1222.51
71,0.001,1225.02
72,0.044,1267.71
73,0.097,1272.08
74,0.02,1290.13
75,0.001,1293.66
76,0,1303.15
77,0.001,1310.74
78,0,1323.58
79,0.019,1329.81
80,0.011,1350.55
81,0,1362.15
82,0.001,1367.96
83,0.039,1377.42
84,0.008,1380.31
85,0.004,1382.06
86,0.001,1390.86
87,0.01,1416.64
88,0.021,1434.01
89,0.004,1444.95
90,0.001,1461.99
91,0,1469.2
92,0,1474
93,0,1479.52
94,0,1482.91
95,0,1483.28
96,0.002,1509.63
97,0,1511.98
98,0.005,1528.1
99,0.019,1551.85
100,0.005,1585.5
101,0.024,1595.66
102,0.023,1649.42
103,0,2948.13
104,0,2953.51
105,0,2997.61
106,0,3004.08
107,0,3039.79
108,0,3043.45
109,0,3073.26
110,0,3085.3
111,0,3090.03
112,0,3091.15
113,0,3093.46
114,0,3094.03
115,0,3162.42
116,0,3170.66
117,0,3173.95
118,0,3188.19
119,0.009,3223.64
120,0,3241.3
