mode,HR-factor,Freq (cm-1)
1,0,14.02
2,0.002,40.92
3,0,60.78
4,0,85.95
5,0,90.13
6,0,98.17
7,0,119.75
8,0.001,135.75
9,0.002,185.67
10,0.003,194.59
11,0.011,215.64
12,0.001,222.69
13,0.001,251.33
14,0,282.61
15,0.002,351.01
16,0.013,366.22
17,0.001,368.92
18,0.037,401.71
19,0.01,447.12
20,0,453.89
21,0.005,465.88
22,0.007,495.64
23,0.005,511.11
24,0.003,526.05
25,0.002,537.78
26,0.018,584.9
27,0.012,599.35
28,0,632.58
29,0.012,669.1
30,0.006,678.71
31,0.003,693.26
32,0.009,703.69
33,0.007,717.92
34,0,754.65
35,0.001,792.9
36,0,811.69
37,0.012,821.64
38,0,831.81
39,0.003,842.29
40,0.017,849.89
41,0.002,907.24
42,0,915.75
43,0,925.18
44,0,941.35
45,0.001,977.89
46,0.001,1001.11
47,0,1018.45
48,0.016,1071.07
49,0.004,1074.17
50,0.054,1082.19
51,0.012,1102.58
52,0.032,1117.67
53,0.002,1122.32
54,0.011,1128.04
55,0.003,1167.18
56,0.002,1170.46
57,0.006,1195.37
58,0.039,1206.14
59,0.02,1249.86
60,0.001,1253.17
61,0.025,1276.98
62,0.007,1279.23
63,0.005,1332.51
64,0.315,1369.17
65,0.023,1381.87
66,0.008,1407.11
67,0.001,1411.13
68,0.024,1427.64
69,0,1439.18
70,0.001,1447.89
71,0.032,1457.04
72,0.025,1463.66
73,0.002,1474.64
74,0,1483.55
75,0,1491.56
76,0.025,1501.02
77,0.034,1506.48
78,0.001,1521.11
79,0.076,1546.92
80,0.023,1547.7
81,0.025,1566.65
82,0,1719.41
83,0.004,3027.05
84,0.005,3031.73
85,0,3092.59
86,0.006,3094.38
87,0,3148.52
88,0.017,3166.35
89,0.039,3179.75
90,0,3186.54
91,0,3188.8
92,0,3188.98
93,0,3197.62
94,0,3208.35
95,0,3209.36
96,0,3221.44
