mode,HR-factor,Freq (cm-1)
1,0,26.65
2,0,96.5
3,0,155.39
4,0,191.81
5,1.578,234.89
6,0,273.73
7,0,346.06
8,0.004,375.54
9,0.894,401.7
10,0,467.06
11,0.001,487.52
12,0,491.34
13,0.026,532.64
14,0,543.24
15,0.054,549.13
16,0.005,568.96
17,0,635.01
18,0,672.02
19,0.001,680.97
20,0,698.51
21,0.017,701.33
22,0,735.26
23,0,764.4
24,0,813.13
25,0.014,815.34
26,0,820.51
27,0,852.2
28,0.001,857.28
29,0,866.81
30,0,940.5
31,0,950.91
32,0,963.8
33,0,1002.54
34,0,1026.74
35,0.013,1060.84
36,0.002,1093.42
37,0,1119.98
38,0.039,1161.84
39,0.01,1178.41
40,0,1189.4
41,0.101,1194.73
42,0.075,1232.17
43,0.013,1266.61
44,0.07,1289.7
45,0.001,1319.38
46,0,1342.73
47,0.004,1359.62
48,0.013,1413.2
49,0.063,1433.71
50,0.126,1444.02
51,0.004,1478.8
52,0.064,1493.99
53,0,1520.21
54,0.019,1559.53
55,0.014,1574.42
56,0.063,1580.55
57,0.337,1669.31
58,0.001,3175.98
59,0,3176.79
60,0,3189.96
61,0,3193.27
62,0.001,3196.47
63,0.001,3197.96
64,0,3207.47
65,0.002,3239.53
66,1.315,3354.16
