state       dE(eV)    f  PRNTO   Z_HE
--------------------------------------
1(1)A       2.947  0.148  1.052  1.165
2(1)A       3.347  0.003  1.014  1.049
3(1)A       3.538  0.163  1.304  1.556
4(1)A       4.046  0.513  1.359  1.703
5(1)A       4.251  0.018  1.035  1.102
6(1)A       4.330  0.078  1.298  1.605
7(1)A       4.425  0.038  2.035  2.466
8(1)A       4.517  0.426  1.954  2.357
9(1)A       4.888  0.001  1.124  1.291
10(1)A      5.028  0.503  2.493  2.956
11(1)A      5.070  0.131  1.301  1.652
12(1)A      5.228  0.073  1.091  1.239
13(1)A      5.272  0.017  1.086  1.223
14(1)A      5.311  0.064  1.591  1.995
15(1)A      5.404  0.034  3.401  3.683
16(1)A      5.432  0.029  1.682  2.029
17(1)A      5.484  0.103  2.785  3.344
18(1)A      5.597  0.006  1.054  1.165
19(1)A      5.754  0.647  2.731  3.506
20(1)A      5.840  0.032  1.468  1.972
